X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5,5,5,2.565208629239329,10.613280512508913,0.5757520188902009,5,5,4,2.370611494565052,10.658616761287133,0.7738799784716448
2.5,15,5,5,3,3.7590926043437327,15.695785328532043,0.7224209449312863,5,5,5,3.5977511882336386,15.653225530048505,0.5584616499423621
2.5,20,5,5,5,3.8810627980916808,20.47705430554846,0.7848544199826877,5,5,5,3.9065964772661914,20.45318714732975,0.8083481612395157
2.5,25,5,5,5,4.697608739313199,25.580777527452046,1.607804154230727,6,5,6,9.717956009823062,26.02580200504561,6.647478461602738
2.5,30,5,5,5,4.579942973628876,30.987471650461565,1.5922795437012676,5,5,5,4.520449555832237,31.061461079355524,1.566910239983828
2.5,35,5,5,4,3.862868083708414,35.68603215875743,0.8147282424123905,7,5,5,7.5093167819340305,48.42394764145896,13.750101332386954
2.5,40,5,5,5,2.926535492,41.219089055628764,0.8372555264986548,5,5,5,3.043790119558818,40.822405905629715,0.4261294401588242
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,7,5,6,15.010625245762352,0.288307499,12.24757390392917,5,5,5,7.1396904099097664,11.34446203298663,1.3469235466694127
7.5,15,5,5,4,7.602267775546332,15.741898788846859,0.6038477863456523,5,5,3,7.715761899087754,15.769294093877772,0.5329324966312837
7.5,20,5,5,5,8.071993074,20.585583008249557,0.18768441818118814,5,5,5,8.085105699207933,20.607051219893304,0.2075862419703926
7.5,25,5,5,5,8.451027061035361,25.68965688346909,0.45510560062490013,5,5,5,8.403487742275423,25.70942755392057,0.43341691341790295
7.5,30,5,5,5,8.163135699608894,30.895565530618335,0.4995711277707484,5,5,5,8.163377631107917,30.895024440565578,0.49906504674452623
7.5,35,5,5,5,7.671590157926355,35.68483504179291,0.5144569892797006,5,5,5,7.663957894762706,35.694160967391454,0.5259880153353766
7.5,40,5,5,5,7.099474150270969,40.186172032421034,1.0231199224406442,5,5,5,7.099956153419251,40.226668816497394,1.0149538877497997
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5,4,4,15.456720560207595,-3.247807868,4.342883148700695,5,5,5,10.944168200231909,4.8211396903306305,4.918748510577476
12.5,5,5,5,5,11.421155103942592,7.9507750386788505,3.053681955110109,6,5,6,15.601620323034984,4.0558804003211995,2.8398524149790534
12.5,10,5,5,5,11.51706754975413,12.151135120773104,2.360540055420883,5,5,5,11.50705109705342,12.131702020873515,2.352929683712653
12.5,15,5,5,5,12.446315916673743,16.062898576480592,0.9309873272467689,5,5,5,12.41120819738707,16.113011137192807,0.9913722959149843
12.5,20,5,5,5,13.01376563685002,20.925039713988042,0.5320743055744462,5,5,5,13.030947218484112,20.90027598308099,0.505019154
12.5,25,5,5,5,13.334290892323153,25.642497809379336,0.33719046513707485,5,5,5,13.328297035287989,25.642058495724456,0.3327339052060555
12.5,30,5,5,5,12.894227036571559,30.491233557035876,0.22509125795450416,5,5,5,12.884755912533475,30.50133096838102,0.2379033046057419
12.5,35,5,5,5,12.203970674078665,35.331531676898734,0.898641455,5,5,5,12.16693414863449,35.23681417870846,0.9472283226630402
12.5,40,5,5,5,11.60621251343845,38.94269424210849,2.0868974883763753,5,5,5,11.68249338545055,39.062394431513816,1.9489775932874867
