X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Place_Latency_Avg,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance,Remove_Latency_Avg
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,5.0,5.0,1.417538999039749,8.540179838537084,2.507908701036806,0.000902456184849143,5.0,5.0,5.0,1.4185757562261998,8.514349219229917,2.5264335246685437,0.0006835760548710823
2.5,15,5.0,5.0,5.0,3.0716459212535385,14.807317277464241,0.5933605677612561,0.0007262671831995248,5.0,5.0,5.0,3.083358356153836,14.780407871544941,0.6198155773723123,0.0007809795904904604
2.5,20,5.0,5.0,5.0,3.1459590766006515,19.59164659146693,0.8096588601435887,0.0007311381865292788,5.0,5.0,5.0,3.116459782039353,19.586400904609572,0.813765575853945,0.0006731367204338313
2.5,25,5.0,5.0,5.0,3.536355703634835,25.600729673938105,0.48031104723288476,0.0006554943975061178,5.0,5.0,5.0,3.5211028546972925,25.605974399244264,0.46877827101759423,0.0007151828147470951
2.5,30,5.0,5.0,5.0,3.26756192516847,31.618523005113765,1.22998996449469,0.0006940416060388088,5.0,5.0,5.0,3.2307013429577496,31.644733049612398,1.2515762884652073,0.0006855740677565337
2.5,35,5.0,5.0,5.0,3.2320216493240155,36.38672534546593,0.9955182686797374,0.0009694620501250028,5.0,5.0,5.0,3.2483138750851217,36.37343863213182,0.9846724206909837,0.000751790776848793
2.5,40,3.0,1.0,1.0,13.776362959423224,57.994689487024836,20.580520503285783,0.0006539117700109879,2.0,1.0,2.0,2.6034336940113776,32.70376328708851,7.712239469661829,0.0006373689975589514
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,5.0,5.0,6.919924191103229,9.744847251741282,1.3497422117924291,0.0007558016106486321,5.0,5.0,5.0,6.928428574620415,9.712288149681758,1.3585018195917493,0.0007912987843155861
7.5,15,5.0,5.0,5.0,7.455937596114251,14.874802881675715,0.8310525814864083,0.000680730352178216,5.0,5.0,5.0,7.4537076779720906,14.873757483047166,0.8334416309262939,0.000659790588542819
7.5,20,5.0,5.0,5.0,7.522140287311503,19.826561983368485,0.8140964356061977,0.0007211372256278991,5.0,5.0,5.0,7.506677398638743,19.827053323415008,0.8248027664210846,0.0006840927992016077
7.5,25,6.0,5.0,5.0,5.887184365764782,21.215201553019707,4.733824148927003,0.0007231056224554777,5.0,5.0,5.0,7.859415693954266,25.63894340313388,0.3390792801347608,0.0007202235050499439
7.5,30,5.0,5.0,5.0,7.636807032340995,31.499230820730048,1.1928353291765021,0.0007729219738394022,5.0,5.0,5.0,7.647199984971666,31.511181105288916,1.199896371509123,0.0006575569976121187
7.5,35,5.0,5.0,5.0,7.491944922639472,36.329633499801936,1.1108327601659562,0.0006327828392386437,5.0,5.0,5.0,7.475276167462897,36.37667497987752,1.1593851315497385,0.0007495738100260496
7.5,40,3.0,3.0,3.0,6.837879754805336,41.78973448286275,1.8773144239013435,0.0009505602841575941,5.0,3.0,4.0,10.585360728763735,47.918854971041256,7.918977082151004,0.0008501315955072641
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,5.0,10.717517504867498,2.520680497553093,3.189593800519876,0.0007347095757722855,6.0,5.0,5.0,14.876683350693872,-0.5518176001943701,2.015579438442597,0.0006215505224342147
12.5,5,5.0,5.0,5.0,11.488536421599962,6.474500621557972,1.9368444569036312,0.0006216917652636766,6.0,5.0,5.0,14.4913111128703,8.468228191633026,3.3689420963750707,0.0006683593383058906
12.5,10,5.0,5.0,5.0,11.83170992909183,11.044011157391342,1.4224310439556593,0.0006211304105818271,5.0,5.0,5.0,11.81691838538865,11.090745039708047,1.4571983871919905,0.0006473421584814787
12.5,15,5.0,5.0,5.0,12.229025840142302,14.922781961956392,0.9931430123471704,0.0007593357935547828,5.0,5.0,5.0,12.245911724747549,14.89945714480036,0.9899545099726121,0.0007199494168162346
12.5,20,5.0,5.0,5.0,13.038959346528092,20.11896138455593,0.2875911416351279,0.0006213152315467596,5.0,5.0,5.0,13.037899776908565,20.122425376020725,0.2844364772409488,0.0005863632541149855
12.5,25,6.0,5.0,5.0,12.590997101504847,33.70331450270371,8.318901110211991,0.0006497680054356655,6.0,6.0,5.0,11.881618062896168,25.322161630432944,1.2208658224545983,0.0006211311556398869
12.5,30,5.0,5.0,5.0,12.87903916469627,31.052171359371282,0.6885863582168256,0.000570945767685771,5.0,5.0,5.0,12.892211287974172,31.10499459893537,0.7349785938198458,0.0005882255733013153
12.5,35,5.0,5.0,5.0,12.108917904472545,36.15363367015682,1.2450732624505012,0.0005866840016096831,6.0,5.0,5.0,15.996335774385846,35.104571318048755,2.9113637739222336,0.000616706752528747
12.5,40,5.0,4.0,4.0,13.771022910765229,35.33723957806651,5.107035817053569,0.0006360148079693317,5.0,4.0,4.0,3.1902634675372754,36.72606271096711,10.568854873947917,0.0005822121631354094
12.5,45,5.0,5.0,5.0,11.383641428297292,44.344984547950524,2.0146821959605727,0.0005861828103661537,6.0,5.0,5.0,20.23483886881808,41.00211570790744,8.381366948811616,0.0006032450667892894
12.5,50,2.0,2.0,2.0,10.647210284770283,48.16281365726667,3.3198162779360563,0.0006365765584632754,2.0,2.0,2.0,11.15170062405274,48.66283828893344,2.6102875835264134,0.0006165598751977086
17.5,0,5.0,5.0,5.0,13.854867832126128,5.159270861587023,6.377445119847667,0.00062910420820117,5.0,5.0,5.0,13.786576626985866,5.265213458238202,6.501993785685031,0.0006588381715118885
