X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRLM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRLM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,5.0,2.0,-0.16750624758447774,8.453188391972272,3.803507922320539,5.0,5.0,1.0,1.0748611129471286,8.45570961693463,2.807392492248675
2.5,15,5.0,5.0,5.0,1.7506404120170387,15.110392616480933,1.3800883066928389,5.0,5.0,5.0,1.9695828856319344,14.972196885244117,1.2086597360097093
2.5,20,5.0,5.0,5.0,3.543083138201817,19.754243496123735,0.7831501322589848,6.0,5.0,6.0,12.590978734841146,20.345034596909308,9.491137894938824
2.5,25,5.0,5.0,5.0,3.035678266135654,25.394318317565403,0.06457218412446163,5.0,5.0,5.0,2.442940424609783,25.46185918167165,0.6599650323835791
2.5,30,5.0,5.0,5.0,2.9777839391986185,31.31867364782791,0.9267675203260255,5.0,5.0,5.0,3.16698400066285,31.35496384805841,0.9573101939514334
2.5,35,5.0,5.0,5.0,2.5696175527785288,36.99926251099327,1.6849172440773277,5.0,5.0,5.0,3.425229039973048,36.85959279600338,1.4953879291296852
2.5,40,5.0,5.0,4.0,1.4811471973795516,39.878933754380625,1.7006452977843292,5.0,5.0,5.0,1.0722527181618482,40.07194307898986,2.054113040322919
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,4.0,4.0,4.0,5.925546663893682,9.889818387559593,2.233502314432691,5.0,5.0,5.0,6.723193552488271,9.439902800205445,1.6785060699810448
7.5,15,5.0,5.0,5.0,6.731815765187551,14.852867645157506,1.4735270320237832,5.0,5.0,5.0,6.819756048340457,14.708826838503441,1.4549037476527409
7.5,20,5.0,5.0,5.0,6.991148913990867,19.958482742735207,1.1935192580793397,5.0,5.0,5.0,7.196462755373895,19.954894706135587,1.0072230512913498
7.5,25,5.0,5.0,5.0,6.947421579449449,25.707916915468253,1.1930003530386262,5.0,5.0,5.0,6.7571143720635245,25.64522764198092,1.3650928195950136
7.5,30,5.0,5.0,5.0,7.381290643469053,31.54145142693971,1.3488715651342895,5.0,5.0,5.0,7.338506070095653,31.450446117079508,1.2974243909255696
7.5,35,5.0,5.0,5.0,6.449005206059793,37.03409352512197,2.322938970025517,5.0,5.0,5.0,6.633996972449135,36.66731767544975,1.9378490568916007
7.5,40,5.0,5.0,5.0,6.662468189347163,40.68628514432131,1.4657615394387644,6.0,5.0,6.0,11.723708586964557,37.49235393118808,4.646038052439744
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,4.0,8.63250205507931,2.5232320361378977,4.946377681410192,5.0,5.0,5.0,8.21171510930081,4.516242443115736,6.3905227503816455
12.5,5,5.0,3.0,3.0,15.396848312893956,-2.442231244403488,8.1716646445594,5.0,5.0,5.0,12.560229668264196,3.069220516667575,2.3924642130961016
12.5,10,5.0,5.0,5.0,10.793147469963722,10.676134254158395,2.323320623946335,5.0,5.0,5.0,10.74560503448583,10.910306899561427,2.409063881547864
12.5,15,5.0,5.0,5.0,11.849454078944037,14.949576076585924,1.3291902841404748,5.0,5.0,5.0,11.793990192991687,14.988901258136007,1.3691836222961649
12.5,20,5.0,5.0,5.0,12.70675431045618,20.640177714604114,0.4607900898861109,5.0,5.0,5.0,12.77479821058419,20.37636516400667,0.3260595180510388
12.5,25,6.0,6.0,6.0,12.789716000029413,25.875607674687704,0.5678721870805019,5.0,5.0,5.0,12.927286435630355,25.60524941236353,0.2682485723966531
