X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
47.5,50,5,5,5,45.66472554,54.26302384,4.566564892,5,5,5,45.7568532,54.12653922,4.401980404
52.5,0,5,5,5,56.43262667,4.712424303,5.450082927,5,5,5,58.08913579,7.267126254,8.48816228
52.5,5,5,5,5,55.36255754,12.61805841,7.564359443,5,5,5,55.4251721,12.53878871,7.507911127
52.5,10,5,5,5,54.61419484,15.12682292,4.963430355,5,5,5,54.61852597,15.12712099,4.965037152
52.5,15,5,5,5,53.50400353,18.16112513,2.790525192,5,5,5,53.50130166,18.1633468,2.792333894
52.5,20,5,5,5,53.32202002,21.80426707,1.421709849,5,5,5,53.30961353,21.82180626,1.437174618
52.5,25,5,5,5,53.30908513,25.501168,0.232274741,5,5,5,53.29412766,25.5124318,0.224335589
52.5,30,5,5,5,53.34486858,29.05599674,1.366127875,5,5,5,53.33643642,29.05706157,1.363592981
52.5,35,5,5,5,53.42149212,32.80167462,2.618139026,5,5,5,53.40957721,32.86478548,2.554045948
52.5,40,5,5,5,54.69411516,36.29824727,4.400633887,5,5,5,54.73420044,36.35769843,4.360139112
52.5,45,5,5,5,55.78485179,39.07624665,6.870100838,5,5,5,55.81164063,39.12887223,6.832279148
52.5,50,5,5,5,51.09764497,54.05842006,4.170547088,5,5,5,54.53688983,48.72739563,2.205052786
57.5,0,5,5,5,61.94320249,4.763159111,5.814409928,5,5,5,62.02830319,4.916332662,5.985718556
57.5,5,5,5,5,60.4261775,8.036459369,3.515966408,5,5,5,60.41410327,8.004884428,3.484321575
57.5,10,5,5,5,59.48954637,11.78713632,1.963411897,5,5,5,59.50773068,11.80963605,1.992179579
57.5,15,5,5,5,58.29371884,15.84786608,0.487966201,5,5,5,58.28060385,15.81745527,0.454847942
57.5,20,5,5,5,57.60370911,20.75329323,0.609196806,5,5,5,57.60999884,20.76039357,0.608263647
57.5,25,5,5,5,57.11544318,25.53349319,0.99356558,5,5,5,57.1218014,25.53741982,0.987803982
57.5,30,5,5,5,57.50428915,30.19900115,0.62870657,5,5,5,57.5218337,30.17883281,0.619024388
57.5,35,5,5,5,58.62073321,34.97172877,0.674224975,5,5,5,58.62110823,34.9785942,0.67017657
57.5,40,5,5,5,60.00017651,39.75539577,2.006535671,5,5,5,60.01177284,39.74174291,2.021924277
57.5,45,5,5,5,61.4171898,42.94274188,4.128179462,5,5,5,61.38627972,43.03076787,4.051283166
57.5,50,5,5,5,62.53780834,45.69008962,6.471274885,5,5,5,62.50501194,45.77421943,6.387642453
62.5,0,5,5,5,65.55068447,2.520678237,3.240853367,5,5,5,65.50197737,2.416419416,3.136150913
62.5,5,5,5,5,65.02176689,6.462344969,2.195851728,5,5,5,65.00358446,6.397663095,2.149177851
62.5,10,5,5,5,64.84840803,10.99024051,1.845349421,5,5,5,64.85724238,11.01002195,1.860114932
62.5,15,5,5,5,64.51969952,14.82984892,1.529908166,5,5,5,64.52745874,14.83709975,1.53443643
62.5,20,5,5,5,63.68471186,20.30942614,0.591685374,5,5,5,63.69167691,20.31161079,0.59824261
62.5,25,5,5,5,63.32140527,25.51132366,0.247816972,5,5,5,63.3225435,25.51588932,0.250910228
62.5,30,5,5,5,63.64090169,30.98774959,0.798764183,5,5,5,63.64509738,30.97710576,0.793840167
62.5,35,5,5,5,64.51623796,36.20945035,1.631238743,5,5,5,64.54170304,36.18721766,1.642625731
62.5,40,5,5,5,64.92909354,40.47753524,1.830736163,5,5,5,64.92136766,40.47196558,1.822788855
62.5,45,5,5,5,65.30774125,44.43859978,2.40798916,5,5,5,65.34178137,44.37621029,2.464493675
62.5,50,5,5,5,65.90653366,47.60771645,3.958974439,5,5,5,65.89739006,47.69863036,3.888803035
67.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,10,5,5,5,69.58483387,9.64175706,1.667232433,5,5,5,69.5960145,9.621429004,1.686485159
67.5,15,5,5,5,69.11867396,14.8312352,1.166700488,5,5,5,69.12530815,14.82139419,1.177302627
