X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRLM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRLM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,0.0,3.0,22.30119436179323,13.800476025884198,19.4999769774729,5.0,0.0,0.0,22.747394880215747,13.602848374390067,19.906741654235155
2.5,15,5.0,2.0,5.0,15.3233404458026,17.089032580826835,12.339484702088994,5.0,3.0,5.0,10.990549517237126,14.42364601936507,7.950725676280921
2.5,20,5.0,0.0,5.0,19.259279036648298,20.50736479825041,16.159635707037594,5.0,1.0,5.0,15.717257979407274,20.89684627586647,12.627036672979093
2.5,25,5.0,0.0,5.0,20.818083263779847,28.216146503741378,17.940489281866597,6.0,1.0,5.0,20.746899025243337,27.18478463638618,17.73692480125612
2.5,30,5.0,0.0,5.0,20.914197483398578,31.434364462026444,17.844201910363697,5.0,0.0,5.0,19.869222357159902,31.486821760009484,16.80440418467437
2.5,35,5.0,0.0,5.0,16.125197528657914,35.57343749423542,13.02635218412902,7.0,3.0,5.0,14.700042540864008,40.052646445392085,12.498324123484489
2.5,40,5.0,0.0,1.0,23.095983509706453,39.09512377063624,20.038514378426633,5.0,0.0,2.0,19.528537838781936,36.991614242521564,16.77837742429439
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,7.0,4.0,5.0,14.944127703507528,11.517254017524651,6.9347199338974175,5.0,3.0,5.0,12.838384445613835,18.765845636373296,9.614554610904305
7.5,15,5.0,1.0,5.0,20.753228373359434,15.02432838269904,12.658803949522,5.0,1.0,5.0,21.272724055817292,14.960158823431744,13.180065224091743
7.5,20,5.0,1.0,5.0,20.999721482570216,18.921268064361445,12.984200493883359,5.0,0.0,5.0,21.699387303094813,19.202123920675387,13.65204168324264
7.5,25,5.0,1.0,5.0,19.821090299139776,26.901168631348025,11.81682973814601,5.0,0.0,5.0,21.06827824163423,27.96501289919604,13.219513293820082
7.5,30,5.0,1.0,5.0,18.341774101072996,29.346182313277193,10.295847146022487,5.0,0.0,5.0,20.78574014717182,31.412432391707334,12.726076474284802
7.5,35,5.0,2.0,5.0,18.239301660998784,38.6636587394196,10.651615208038764,5.0,2.0,5.0,11.496816642491146,46.75647184350217,11.853599286080259
7.5,40,5.0,3.0,4.0,14.366524639341483,34.74307755115909,8.442162202165635,5.0,3.0,5.0,13.461993921727654,35.745857426960896,7.100142386376441
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,4.0,3.0,22.07895862894133,0.6218014149547422,8.981697719691745,5.0,5.0,4.0,20.810401105763454,5.5684419692180755,9.282406886197842
12.5,5,5.0,4.0,5.0,20.774233908662815,9.943704555305628,8.918470562309171,6.0,5.0,4.0,21.916361925042498,9.948194313948457,9.920398636686539
12.5,10,5.0,3.0,5.0,18.795111428711373,14.53143692079713,7.035841471776107,5.0,5.0,5.0,20.909887146342474,12.352434504826588,8.05023836505745
12.5,15,5.0,1.0,5.0,24.495832998221278,15.73445280732624,11.400739818260803,5.0,1.0,5.0,24.128353699601583,15.909711050116531,11.040126388684453
12.5,20,5.0,2.0,5.0,23.684920366897735,20.278075074808093,10.58562255424543,5.0,1.0,5.0,23.944221606369247,20.268610086211943,10.845017545282758
12.5,25,5.0,0.0,5.0,23.083522123660302,23.460660023311892,10.170140291008543,5.0,0.0,5.0,25.249047666787018,25.283767815340703,12.14960366146212
