X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRLM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRLM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,5.0,3.0,0.4539343734942861,8.443442449434718,3.290863222385442,5.0,5.0,2.0,1.4434551472196215,8.31790260132356,2.6606898404076276
2.5,15,5.0,5.0,5.0,2.0399831592988154,15.079191860590038,1.107498787756358,5.0,5.0,5.0,2.2242849474392643,14.77876712796492,1.0736885649844679
2.5,20,5.0,5.0,5.0,2.6331758032385095,19.434914725317068,1.0720608276081347,5.0,5.0,5.0,2.828147643201187,19.405875022746606,1.0306251376209135
2.5,25,5.0,5.0,5.0,3.9692220601768953,25.53368909047136,0.8794428706909992,5.0,5.0,5.0,2.9187870270990475,25.58680959608253,0.26026134314592414
2.5,30,5.0,5.0,5.0,3.3917148116987628,31.26714091616183,0.9148939281940953,5.0,5.0,5.0,3.426160561146916,31.351592086372904,1.0059364843245369
2.5,35,5.0,5.0,5.0,3.0540886071204527,36.51507684068679,1.1160216022246936,5.0,5.0,5.0,3.7446907984564652,36.848340259155925,1.5853440421265954
2.5,40,5.0,5.0,4.0,1.212605551489655,39.75166668727971,1.9956437278859507,5.0,5.0,5.0,0.9604572992401208,40.024838936665404,2.172185257250684
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,4.0,4.0,6.827736120075971,7.203080934489482,3.440777076705782,5.0,5.0,5.0,6.449543827159215,8.998270289749437,2.1653756623429983
7.5,15,5.0,5.0,5.0,7.011967234695755,14.861899508060244,1.2138234788474849,5.0,5.0,5.0,6.911513160126839,14.71809488339245,1.3702173391864696
7.5,20,5.0,5.0,5.0,7.36765624990233,19.95013021389287,0.8594825145162593,5.0,5.0,5.0,7.070021227074372,20.021744042057996,1.0972391910590884
7.5,25,5.0,5.0,5.0,7.252556989152967,25.70828092577987,0.9017742432744347,5.0,5.0,5.0,7.231957416144785,25.655556113095184,0.904879469502075
7.5,30,5.0,5.0,5.0,7.289510865996175,31.56894373710748,1.4224352698316638,5.0,5.0,5.0,7.30782036605175,31.58170343644104,1.4226635526852252
7.5,35,5.0,5.0,5.0,6.3498717439889205,36.76878038710042,2.22182552433785,5.0,5.0,5.0,6.45125054796587,36.86135866278354,2.2031667882562447
7.5,40,5.0,5.0,5.0,5.91529399563354,40.19705887234605,2.1941115347238656,6.0,5.0,6.0,11.287163072661349,37.68146543060673,4.189085658795053
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,4.0,9.275685209000887,2.1052728467673383,4.187283021551871,5.0,5.0,5.0,8.339260674600592,4.401172763361553,6.218844137512271
12.5,5,5.0,4.0,4.0,14.220402862709014,-0.18726166116966247,5.698490628679048,5.0,5.0,5.0,12.376517124788313,3.2833489616343656,2.2368815545171112
12.5,10,5.0,5.0,5.0,10.812480150519027,10.777888753010899,2.3185225837635444,5.0,5.0,5.0,10.705991011182658,11.042031077751066,2.4786050398029187
12.5,15,5.0,5.0,5.0,11.999272721431598,14.611568774319121,1.3539661515020427,5.0,5.0,5.0,11.87642881864075,14.876108462807395,1.3310104351938417
12.5,20,5.0,5.0,5.0,12.934876872057334,20.511752519733047,0.19938473624692382,5.0,5.0,5.0,12.752763103248338,20.560833112477884,0.3826757799169531
12.5,25,5.0,5.0,5.0,12.985118204578905,25.76439070451776,0.3820712138569506,5.0,5.0,5.0,12.947229406419002,25.732961644252565,0.3663363356349782
