2848.087402, 2868.918701, 2891.868652, 2836.814941, 2834.782471
2848.050049, 2868.903809, 2891.808838, 2836.758789, 2834.748779
2848.008789, 2868.832520, 2891.752441, 2836.717529, 2834.711182
2847.937500, 2868.813721, 2891.726318, 2836.702393, 2834.729980
2847.892578, 2868.727539, 2891.681152, 2836.683838, 2834.677490
2847.794922, 2868.712402, 2891.681152, 2836.657471, 2834.647461
2847.783691, 2868.689941, 2891.658691, 2836.616211, 2834.602539
2847.701172, 2868.637451, 2891.655029, 2836.571289, 2834.576172
2847.641357, 2868.614990, 2891.591309, 2836.560059, 2834.531250
2847.618652, 2868.659912, 2891.636230, 2836.578857, 2834.557617
2847.645020, 2868.686279, 2891.655029, 2836.604980, 2834.598633
2847.641357, 2868.667480, 2891.651367, 2836.593750, 2834.576172
2847.652588, 2868.719971, 2891.647461, 2836.590088, 2834.594971
2847.663818, 2868.697510, 2891.673828, 2836.574951, 2834.587402
2847.708740, 2868.746338, 2891.673828, 2836.590088, 2834.628662
2847.753662, 2868.761230, 2891.703857, 2836.612549, 2834.655029
2847.768799, 2868.794922, 2891.722412, 2836.649902, 2834.692383
2847.824951, 2868.798828, 2891.729980, 2836.683838, 2834.699951
2847.843750, 2868.783691, 2891.745117, 2836.668701, 2834.718750
2847.824951, 2868.783691, 2891.756348, 2836.672607, 2834.715088
2847.794922, 2868.731201, 2891.756348, 2836.665039, 2834.655029
2847.772461, 2868.701172, 2891.729980, 2836.635010, 2834.625000
2847.716309, 2868.641357, 2891.707520, 2836.574951, 2834.580078
2847.697510, 2868.600098, 2891.651367, 2836.533691, 2834.520020
2847.648682, 2868.562500, 2891.658691, 2836.514893, 2834.463867
2847.671143, 2868.532471, 2891.666260, 2836.526367, 2834.441162
2847.659912, 2868.532471, 2891.681152, 2836.511230, 2834.415039
2847.678711, 2868.547607, 2891.669922, 2836.503662, 2834.403809
2847.701172, 2868.536133, 2891.707520, 2836.514893, 2834.396240
2847.667480, 2868.498779, 2891.669922, 2836.488770, 2834.381348
2847.633789, 2868.510010, 2891.651367, 2836.473633, 2834.418701
2847.618652, 2868.547607, 2891.673828, 2836.473633, 2834.429932
2847.626221, 2868.554932, 2891.692383, 2836.503662, 2834.448730
2847.648682, 2868.607422, 2891.726318, 2836.556152, 2834.497559
2847.697510, 2868.626221, 2891.729980, 2836.590088, 2834.561279
2847.648682, 2868.645020, 2891.715088, 2836.586182, 2834.553711
2847.633789, 2868.656250, 2891.699951, 2836.586182, 2834.587402
2847.588867, 2868.641357, 2891.718750, 2836.608643, 2834.580078
2847.536133, 2868.622559, 2891.688721, 2836.571289, 2834.557617
2847.536133, 2868.626221, 2891.681152, 2836.604980, 2834.561279
2847.566162, 2868.618652, 2891.655029, 2836.586182, 2834.527588
2847.562500, 2868.614990, 2891.677490, 2836.608643, 2834.538818
2847.584961, 2868.629883, 2891.669922, 2836.649902, 2834.580078
2847.614990, 2868.600098, 2891.673828, 2836.657471, 2834.583740
2847.543701, 2868.629883, 2891.688721, 2836.642578, 2834.568848
2847.570068, 2868.656250, 2891.677490, 2836.604980, 2834.550049
2847.581299, 2868.614990, 2891.655029, 2836.578857, 2834.527588
2847.543701, 2868.592529, 2891.636230, 2836.567383, 2834.531250
2847.570068, 2868.588867, 2891.636230, 2836.560059, 2834.546143
2847.592529, 2868.596191, 2891.647461, 2836.560059, 2834.587402
2847.614990, 2868.622559, 2891.722412, 2836.567383, 2834.610107
2847.663818, 2868.622559, 2891.707520, 2836.563721, 2834.625000
2847.663818, 2868.622559, 2891.733643, 2836.541260, 2834.591309
2847.637451, 2868.629883, 2891.726318, 2836.518799, 2834.572510
2847.667480, 2868.596191, 2891.688721, 2836.500000, 2834.531250
2847.656250, 2868.570068, 2891.681152, 2836.503662, 2834.538818
2847.626221, 2868.577393, 2891.688721, 2836.492432, 2834.520020
2847.656250, 2868.588867, 2891.681152, 2836.473633, 2834.497559
2847.675049, 2868.633789, 2891.703857, 2836.514893, 2834.523682
2847.648682, 2868.675049, 2891.729980, 2836.503662, 2834.527588
2847.645020, 2868.659912, 2891.673828, 2836.507568, 2834.520020
2847.626221, 2868.633789, 2891.688721, 2836.514893, 2834.520020
2847.577393, 2868.618652, 2891.658691, 2836.496338, 2834.501221
2847.581299, 2868.603760, 2891.658691, 2836.496338, 2834.459961
2847.558838, 2868.588867, 2891.677490, 2836.481201, 2834.486328
2847.577393, 2868.592529, 2891.658691, 2836.500000, 2834.497559
2847.641357, 2868.626221, 2891.655029, 2836.537598, 2834.546143
2847.659912, 2868.656250, 2891.662598, 2836.571289, 2834.602539
2847.656250, 2868.637451, 2891.666260, 2836.582520, 2834.602539
0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2956.290039, 2869.110107, 2892.513672, 2836.578857, 2834.538818
3064.796143, 2869.612549, 2893.395020, 2836.631348, 2834.534912
3173.317383, 2870.152588, 2894.250000, 2836.676270, 2834.527588
3281.909912, 2870.699951, 2895.138672, 2836.725098, 2834.546143
3390.476318, 2871.247559, 2896.064941, 2836.754883, 2834.576172
3498.993652, 2871.791260, 2896.949951, 2836.788818, 2834.580078
3607.485107, 2872.278809, 2897.823730, 2836.773682, 2834.531250
3715.976318, 2872.739990, 2898.693848, 2836.773682, 2834.471191
3824.467529, 2873.212402, 2899.582520, 2836.736328, 2834.433838
3932.992432, 2873.711182, 2900.429932, 2836.732422, 2834.429932
3932.955078, 2873.733643, 2900.422607, 2836.762451, 2834.478760
3932.981201, 2873.793701, 2900.448730, 2836.766357, 2834.475098
